# ucsc	ensembl	genbank	refseq
chr1	1	CM008168.2	NC_037328.1
chrUn_NW_020191072v1	NKLS02000988.1	NKLS02000988.1	NW_020191072.1
chrUn_NW_020191073v1	NKLS02000989.1	NKLS02000989.1	NW_020191073.1
chrUn_NW_020191074v1	NKLS02000990.1	NKLS02000990.1	NW_020191074.1
chrUn_NW_020191075v1	NKLS02000991.1	NKLS02000991.1	NW_020191075.1
chrUn_NW_020191076v1	NKLS02000992.1	NKLS02000992.1	NW_020191076.1
chrUn_NW_020191077v1	NKLS02000993.1	NKLS02000993.1	NW_020191077.1
chrUn_NW_020191078v1	NKLS02000994.1	NKLS02000994.1	NW_020191078.1
chrUn_NW_020191079v1	NKLS02000995.1	NKLS02000995.1	NW_020191079.1
chrUn_NW_020191080v1	NKLS02000996.1	NKLS02000996.1	NW_020191080.1
chrUn_NW_020191081v1	NKLS02000997.1	NKLS02000997.1	NW_020191081.1
chrUn_NW_020191082v1	NKLS02000998.1	NKLS02000998.1	NW_020191082.1
chrUn_NW_020191083v1	NKLS02000999.1	NKLS02000999.1	NW_020191083.1
chrUn_NW_020191084v1	NKLS02001000.1	NKLS02001000.1	NW_020191084.1
chrUn_NW_020191085v1	NKLS02001001.1	NKLS02001001.1	NW_020191085.1
chrUn_NW_020191086v1	NKLS02001002.1	NKLS02001002.1	NW_020191086.1
chrUn_NW_020191087v1	NKLS02001003.1	NKLS02001003.1	NW_020191087.1
chrUn_NW_020191088v1	NKLS02001004.1	NKLS02001004.1	NW_020191088.1
chrUn_NW_020191089v1	NKLS02001005.1	NKLS02001005.1	NW_020191089.1
chrUn_NW_020191090v1	NKLS02001006.1	NKLS02001006.1	NW_020191090.1
chrUn_NW_020191091v1	NKLS02001007.1	NKLS02001007.1	NW_020191091.1
chrUn_NW_020191092v1	NKLS02001008.1	NKLS02001008.1	NW_020191092.1
chrUn_NW_020191093v1	NKLS02001009.1	NKLS02001009.1	NW_020191093.1
chrUn_NW_020191094v1	NKLS02001010.1	NKLS02001010.1	NW_020191094.1
chrUn_NW_020191095v1	NKLS02001011.1	NKLS02001011.1	NW_020191095.1
chrUn_NW_020191096v1	NKLS02001012.1	NKLS02001012.1	NW_020191096.1
chrUn_NW_020191097v1	NKLS02001013.1	NKLS02001013.1	NW_020191097.1
chrUn_NW_020191098v1	NKLS02001014.1	NKLS02001014.1	NW_020191098.1
chrUn_NW_020191099v1	NKLS02001015.1	NKLS02001015.1	NW_020191099.1
chrUn_NW_020191100v1	NKLS02001016.1	NKLS02001016.1	NW_020191100.1
chrUn_NW_020191101v1	NKLS02001017.1	NKLS02001017.1	NW_020191101.1
chrUn_NW_020191102v1	NKLS02001018.1	NKLS02001018.1	NW_020191102.1
chrUn_NW_020191103v1	NKLS02001019.1	NKLS02001019.1	NW_020191103.1
chrUn_NW_020191104v1	NKLS02001020.1	NKLS02001020.1	NW_020191104.1
chrUn_NW_020191105v1	NKLS02001021.1	NKLS02001021.1	NW_020191105.1
chrUn_NW_020191106v1	NKLS02001022.1	NKLS02001022.1	NW_020191106.1
chrUn_NW_020191107v1	NKLS02001023.1	NKLS02001023.1	NW_020191107.1
chrUn_NW_020191108v1	NKLS02001024.1	NKLS02001024.1	NW_020191108.1
chrUn_NW_020191109v1	NKLS02001025.1	NKLS02001025.1	NW_020191109.1
chrUn_NW_020191110v1	NKLS02001026.1	NKLS02001026.1	NW_020191110.1
chrUn_NW_020191111v1	NKLS02001027.1	NKLS02001027.1	NW_020191111.1
chrUn_NW_020191112v1	NKLS02001028.1	NKLS02001028.1	NW_020191112.1
chrUn_NW_020191113v1	NKLS02001029.1	NKLS02001029.1	NW_020191113.1
chrUn_NW_020191114v1	NKLS02001030.1	NKLS02001030.1	NW_020191114.1
chrUn_NW_020191115v1	NKLS02001031.1	NKLS02001031.1	NW_020191115.1
chrUn_NW_020191116v1	NKLS02001032.1	NKLS02001032.1	NW_020191116.1
chrUn_NW_020191117v1	NKLS02001033.1	NKLS02001033.1	NW_020191117.1
chrUn_NW_020191118v1	NKLS02001034.1	NKLS02001034.1	NW_020191118.1
chrUn_NW_020191119v1	NKLS02001035.1	NKLS02001035.1	NW_020191119.1
chrUn_NW_020191120v1	NKLS02001036.1	NKLS02001036.1	NW_020191120.1
chrUn_NW_020191121v1	NKLS02001037.1	NKLS02001037.1	NW_020191121.1
chrUn_NW_020191122v1	NKLS02001038.1	NKLS02001038.1	NW_020191122.1
chrUn_NW_020191123v1	NKLS02001039.1	NKLS02001039.1	NW_020191123.1
chrUn_NW_020191124v1	NKLS02001040.1	NKLS02001040.1	NW_020191124.1
chrUn_NW_020191125v1	NKLS02001041.1	NKLS02001041.1	NW_020191125.1
chrUn_NW_020191126v1	NKLS02001042.1	NKLS02001042.1	NW_020191126.1
chrUn_NW_020191127v1	NKLS02001043.1	NKLS02001043.1	NW_020191127.1
chrUn_NW_020191128v1	NKLS02001044.1	NKLS02001044.1	NW_020191128.1
chrUn_NW_020191129v1	NKLS02001045.1	NKLS02001045.1	NW_020191129.1
chrUn_NW_020191130v1	NKLS02001046.1	NKLS02001046.1	NW_020191130.1
chrUn_NW_020191131v1	NKLS02001047.1	NKLS02001047.1	NW_020191131.1
chrUn_NW_020191132v1	NKLS02001048.1	NKLS02001048.1	NW_020191132.1
chrUn_NW_020191133v1	NKLS02001049.1	NKLS02001049.1	NW_020191133.1
chrUn_NW_020191134v1	NKLS02001050.1	NKLS02001050.1	NW_020191134.1
chrUn_NW_020191135v1	NKLS02001051.1	NKLS02001051.1	NW_020191135.1
chrUn_NW_020191136v1	NKLS02001052.1	NKLS02001052.1	NW_020191136.1
chrUn_NW_020191137v1	NKLS02001053.1	NKLS02001053.1	NW_020191137.1
chrUn_NW_020191138v1	NKLS02001054.1	NKLS02001054.1	NW_020191138.1
chrUn_NW_020191139v1	NKLS02001055.1	NKLS02001055.1	NW_020191139.1
chrUn_NW_020191140v1	NKLS02001056.1	NKLS02001056.1	NW_020191140.1
chrUn_NW_020191141v1	NKLS02001057.1	NKLS02001057.1	NW_020191141.1
chrUn_NW_020191142v1	NKLS02001058.1	NKLS02001058.1	NW_020191142.1
chrUn_NW_020191143v1	NKLS02001059.1	NKLS02001059.1	NW_020191143.1
chrUn_NW_020191144v1	NKLS02001060.1	NKLS02001060.1	NW_020191144.1
chrUn_NW_020191145v1	NKLS02001061.1	NKLS02001061.1	NW_020191145.1
chrUn_NW_020191146v1	NKLS02001062.1	NKLS02001062.1	NW_020191146.1
chrUn_NW_020191147v1	NKLS02001063.1	NKLS02001063.1	NW_020191147.1
chrUn_NW_020191148v1	NKLS02001064.1	NKLS02001064.1	NW_020191148.1
chrUn_NW_020191149v1	NKLS02001065.1	NKLS02001065.1	NW_020191149.1
chrUn_NW_020191150v1	NKLS02001066.1	NKLS02001066.1	NW_020191150.1
chrUn_NW_020191151v1	NKLS02001067.1	NKLS02001067.1	NW_020191151.1
chrUn_NW_020191152v1	NKLS02001068.1	NKLS02001068.1	NW_020191152.1
chrUn_NW_020191153v1	NKLS02001069.1	NKLS02001069.1	NW_020191153.1
chrUn_NW_020191154v1	NKLS02001070.1	NKLS02001070.1	NW_020191154.1
chrUn_NW_020191155v1	NKLS02001071.1	NKLS02001071.1	NW_020191155.1
chrUn_NW_020191156v1	NKLS02001072.1	NKLS02001072.1	NW_020191156.1
chrUn_NW_020191157v1	NKLS02001073.1	NKLS02001073.1	NW_020191157.1
chrUn_NW_020191158v1	NKLS02001074.1	NKLS02001074.1	NW_020191158.1
chrUn_NW_020191159v1	NKLS02001075.1	NKLS02001075.1	NW_020191159.1
chrUn_NW_020191160v1	NKLS02001076.1	NKLS02001076.1	NW_020191160.1
chrUn_NW_020191161v1	NKLS02001077.1	NKLS02001077.1	NW_020191161.1
chrUn_NW_020191162v1	NKLS02001078.1	NKLS02001078.1	NW_020191162.1
chrUn_NW_020191163v1	NKLS02001079.1	NKLS02001079.1	NW_020191163.1
chrUn_NW_020191164v1	NKLS02001080.1	NKLS02001080.1	NW_020191164.1
chrUn_NW_020191165v1	NKLS02001081.1	NKLS02001081.1	NW_020191165.1
chrUn_NW_020191166v1	NKLS02001082.1	NKLS02001082.1	NW_020191166.1
chrUn_NW_020191167v1	NKLS02001083.1	NKLS02001083.1	NW_020191167.1
chrUn_NW_020191168v1	NKLS02001084.1	NKLS02001084.1	NW_020191168.1
chrUn_NW_020191169v1	NKLS02001085.1	NKLS02001085.1	NW_020191169.1
chrUn_NW_020191170v1	NKLS02001086.1	NKLS02001086.1	NW_020191170.1
chrUn_NW_020191171v1	NKLS02001087.1	NKLS02001087.1	NW_020191171.1
chrUn_NW_020191172v1	NKLS02001088.1	NKLS02001088.1	NW_020191172.1
chrUn_NW_020191173v1	NKLS02001089.1	NKLS02001089.1	NW_020191173.1
chrUn_NW_020191174v1	NKLS02001090.1	NKLS02001090.1	NW_020191174.1
chrUn_NW_020191175v1	NKLS02001091.1	NKLS02001091.1	NW_020191175.1
chrUn_NW_020191176v1	NKLS02001092.1	NKLS02001092.1	NW_020191176.1
chrUn_NW_020191177v1	NKLS02001093.1	NKLS02001093.1	NW_020191177.1
chrUn_NW_020191178v1	NKLS02001094.1	NKLS02001094.1	NW_020191178.1
chrUn_NW_020191179v1	NKLS02001095.1	NKLS02001095.1	NW_020191179.1
chrUn_NW_020191180v1	NKLS02001096.1	NKLS02001096.1	NW_020191180.1
chrUn_NW_020191181v1	NKLS02001097.1	NKLS02001097.1	NW_020191181.1
chrUn_NW_020191182v1	NKLS02001098.1	NKLS02001098.1	NW_020191182.1
chrUn_NW_020191183v1	NKLS02001099.1	NKLS02001099.1	NW_020191183.1
chrUn_NW_020191184v1	NKLS02001100.1	NKLS02001100.1	NW_020191184.1
chrUn_NW_020191185v1	NKLS02001101.1	NKLS02001101.1	NW_020191185.1
chrUn_NW_020191186v1	NKLS02001102.1	NKLS02001102.1	NW_020191186.1
chrUn_NW_020191187v1	NKLS02001103.1	NKLS02001103.1	NW_020191187.1
chrUn_NW_020191188v1	NKLS02001104.1	NKLS02001104.1	NW_020191188.1
chrUn_NW_020191189v1	NKLS02001105.1	NKLS02001105.1	NW_020191189.1
chrUn_NW_020191190v1	NKLS02001106.1	NKLS02001106.1	NW_020191190.1
chrUn_NW_020191191v1	NKLS02001107.1	NKLS02001107.1	NW_020191191.1
chrUn_NW_020191192v1	NKLS02001108.1	NKLS02001108.1	NW_020191192.1
chrUn_NW_020191193v1	NKLS02001109.1	NKLS02001109.1	NW_020191193.1
chrUn_NW_020191194v1	NKLS02001110.1	NKLS02001110.1	NW_020191194.1
chrUn_NW_020191195v1	NKLS02001111.1	NKLS02001111.1	NW_020191195.1
chrUn_NW_020191196v1	NKLS02001112.1	NKLS02001112.1	NW_020191196.1
chrUn_NW_020191197v1	NKLS02001113.1	NKLS02001113.1	NW_020191197.1
chrUn_NW_020191198v1	NKLS02001114.1	NKLS02001114.1	NW_020191198.1
chrUn_NW_020191199v1	NKLS02001115.1	NKLS02001115.1	NW_020191199.1
chrUn_NW_020191200v1	NKLS02001116.1	NKLS02001116.1	NW_020191200.1
chrUn_NW_020191201v1	NKLS02001117.1	NKLS02001117.1	NW_020191201.1
chrUn_NW_020191202v1	NKLS02001118.1	NKLS02001118.1	NW_020191202.1
chrUn_NW_020191203v1	NKLS02001119.1	NKLS02001119.1	NW_020191203.1
chrUn_NW_020191204v1	NKLS02001120.1	NKLS02001120.1	NW_020191204.1
chrUn_NW_020191205v1	NKLS02001121.1	NKLS02001121.1	NW_020191205.1
chrUn_NW_020191206v1	NKLS02001122.1	NKLS02001122.1	NW_020191206.1
chrUn_NW_020191207v1	NKLS02001123.1	NKLS02001123.1	NW_020191207.1
chrUn_NW_020191208v1	NKLS02001124.1	NKLS02001124.1	NW_020191208.1
chrUn_NW_020191209v1	NKLS02001125.1	NKLS02001125.1	NW_020191209.1
chrUn_NW_020191210v1	NKLS02001126.1	NKLS02001126.1	NW_020191210.1
chrUn_NW_020191211v1	NKLS02001127.1	NKLS02001127.1	NW_020191211.1
chrUn_NW_020191212v1	NKLS02001128.1	NKLS02001128.1	NW_020191212.1
chrUn_NW_020191213v1	NKLS02001129.1	NKLS02001129.1	NW_020191213.1
chrUn_NW_020191214v1	NKLS02001130.1	NKLS02001130.1	NW_020191214.1
chrUn_NW_020191215v1	NKLS02001131.1	NKLS02001131.1	NW_020191215.1
chrUn_NW_020191216v1	NKLS02001132.1	NKLS02001132.1	NW_020191216.1
chrUn_NW_020191217v1	NKLS02001133.1	NKLS02001133.1	NW_020191217.1
chrUn_NW_020191218v1	NKLS02001134.1	NKLS02001134.1	NW_020191218.1
chrUn_NW_020191219v1	NKLS02001135.1	NKLS02001135.1	NW_020191219.1
chrUn_NW_020191220v1	NKLS02001136.1	NKLS02001136.1	NW_020191220.1
chrUn_NW_020191221v1	NKLS02001137.1	NKLS02001137.1	NW_020191221.1
chrUn_NW_020191222v1	NKLS02001138.1	NKLS02001138.1	NW_020191222.1
chrUn_NW_020191223v1	NKLS02001139.1	NKLS02001139.1	NW_020191223.1
chrUn_NW_020191224v1	NKLS02001140.1	NKLS02001140.1	NW_020191224.1
chrUn_NW_020191225v1	NKLS02001141.1	NKLS02001141.1	NW_020191225.1
chrUn_NW_020191226v1	NKLS02001142.1	NKLS02001142.1	NW_020191226.1
chrUn_NW_020191227v1	NKLS02001143.1	NKLS02001143.1	NW_020191227.1
chrUn_NW_020191228v1	NKLS02001144.1	NKLS02001144.1	NW_020191228.1
chrUn_NW_020191229v1	NKLS02001145.1	NKLS02001145.1	NW_020191229.1
chrUn_NW_020191230v1	NKLS02001146.1	NKLS02001146.1	NW_020191230.1
chrUn_NW_020191231v1	NKLS02001147.1	NKLS02001147.1	NW_020191231.1
chrUn_NW_020191232v1	NKLS02001148.1	NKLS02001148.1	NW_020191232.1
chrUn_NW_020191233v1	NKLS02001149.1	NKLS02001149.1	NW_020191233.1
chrUn_NW_020191234v1	NKLS02001150.1	NKLS02001150.1	NW_020191234.1
chrUn_NW_020191235v1	NKLS02001151.1	NKLS02001151.1	NW_020191235.1
chrUn_NW_020191236v1	NKLS02001152.1	NKLS02001152.1	NW_020191236.1
chrUn_NW_020191237v1	NKLS02001153.1	NKLS02001153.1	NW_020191237.1
chrUn_NW_020191238v1	NKLS02001154.1	NKLS02001154.1	NW_020191238.1
chrUn_NW_020191239v1	NKLS02001155.1	NKLS02001155.1	NW_020191239.1
chrUn_NW_020191240v1	NKLS02001156.1	NKLS02001156.1	NW_020191240.1
chrUn_NW_020191241v1	NKLS02001157.1	NKLS02001157.1	NW_020191241.1
chrUn_NW_020191242v1	NKLS02001158.1	NKLS02001158.1	NW_020191242.1
chrUn_NW_020191243v1	NKLS02001159.1	NKLS02001159.1	NW_020191243.1
chrUn_NW_020191244v1	NKLS02001160.1	NKLS02001160.1	NW_020191244.1
chrUn_NW_020191245v1	NKLS02001161.1	NKLS02001161.1	NW_020191245.1
chrUn_NW_020191246v1	NKLS02001162.1	NKLS02001162.1	NW_020191246.1
chrUn_NW_020191247v1	NKLS02001163.1	NKLS02001163.1	NW_020191247.1
chrUn_NW_020191248v1	NKLS02001164.1	NKLS02001164.1	NW_020191248.1
chrUn_NW_020191249v1	NKLS02001165.1	NKLS02001165.1	NW_020191249.1
chrUn_NW_020191250v1	NKLS02001166.1	NKLS02001166.1	NW_020191250.1
chrUn_NW_020191251v1	NKLS02001167.1	NKLS02001167.1	NW_020191251.1
chrUn_NW_020191252v1	NKLS02001168.1	NKLS02001168.1	NW_020191252.1
chrUn_NW_020191253v1	NKLS02001169.1	NKLS02001169.1	NW_020191253.1
chrUn_NW_020191254v1	NKLS02001170.1	NKLS02001170.1	NW_020191254.1
chrUn_NW_020191255v1	NKLS02001171.1	NKLS02001171.1	NW_020191255.1
chrUn_NW_020191256v1	NKLS02001172.1	NKLS02001172.1	NW_020191256.1
chrUn_NW_020191257v1	NKLS02001173.1	NKLS02001173.1	NW_020191257.1
chrUn_NW_020191258v1	NKLS02001174.1	NKLS02001174.1	NW_020191258.1
chrUn_NW_020191259v1	NKLS02001175.1	NKLS02001175.1	NW_020191259.1
chrUn_NW_020191260v1	NKLS02001176.1	NKLS02001176.1	NW_020191260.1
chrUn_NW_020191261v1	NKLS02001177.1	NKLS02001177.1	NW_020191261.1
chrUn_NW_020191262v1	NKLS02001178.1	NKLS02001178.1	NW_020191262.1
chrUn_NW_020191263v1	NKLS02001179.1	NKLS02001179.1	NW_020191263.1
chrUn_NW_020191264v1	NKLS02001180.1	NKLS02001180.1	NW_020191264.1
chrUn_NW_020191265v1	NKLS02001181.1	NKLS02001181.1	NW_020191265.1
chrUn_NW_020191266v1	NKLS02001182.1	NKLS02001182.1	NW_020191266.1
chrUn_NW_020191267v1	NKLS02001183.1	NKLS02001183.1	NW_020191267.1
chrUn_NW_020191268v1	NKLS02001184.1	NKLS02001184.1	NW_020191268.1
chrUn_NW_020191269v1	NKLS02001185.1	NKLS02001185.1	NW_020191269.1
chrUn_NW_020191270v1	NKLS02001186.1	NKLS02001186.1	NW_020191270.1
chrUn_NW_020191271v1	NKLS02001187.1	NKLS02001187.1	NW_020191271.1
chrUn_NW_020191272v1	NKLS02001188.1	NKLS02001188.1	NW_020191272.1
chrUn_NW_020191273v1	NKLS02001189.1	NKLS02001189.1	NW_020191273.1
chrUn_NW_020191274v1	NKLS02001190.1	NKLS02001190.1	NW_020191274.1
chrUn_NW_020191275v1	NKLS02001191.1	NKLS02001191.1	NW_020191275.1
chrUn_NW_020191276v1	NKLS02001192.1	NKLS02001192.1	NW_020191276.1
chrUn_NW_020191277v1	NKLS02001193.1	NKLS02001193.1	NW_020191277.1
chrUn_NW_020191278v1	NKLS02001194.1	NKLS02001194.1	NW_020191278.1
chrUn_NW_020191279v1	NKLS02001195.1	NKLS02001195.1	NW_020191279.1
chrUn_NW_020191280v1	NKLS02001196.1	NKLS02001196.1	NW_020191280.1
chrUn_NW_020191281v1	NKLS02001197.1	NKLS02001197.1	NW_020191281.1
chrUn_NW_020191282v1	NKLS02001198.1	NKLS02001198.1	NW_020191282.1
chrUn_NW_020191283v1	NKLS02001199.1	NKLS02001199.1	NW_020191283.1
chrUn_NW_020191284v1	NKLS02001200.1	NKLS02001200.1	NW_020191284.1
chrUn_NW_020191285v1	NKLS02001201.1	NKLS02001201.1	NW_020191285.1
chrUn_NW_020191286v1	NKLS02001202.1	NKLS02001202.1	NW_020191286.1
chrUn_NW_020191287v1	NKLS02001203.1	NKLS02001203.1	NW_020191287.1
chrUn_NW_020191288v1	NKLS02001204.1	NKLS02001204.1	NW_020191288.1
chrUn_NW_020191289v1	NKLS02001205.1	NKLS02001205.1	NW_020191289.1
chrUn_NW_020191290v1	NKLS02001206.1	NKLS02001206.1	NW_020191290.1
chrUn_NW_020191291v1	NKLS02001207.1	NKLS02001207.1	NW_020191291.1
chrUn_NW_020191292v1	NKLS02001208.1	NKLS02001208.1	NW_020191292.1
chrUn_NW_020191293v1	NKLS02001209.1	NKLS02001209.1	NW_020191293.1
chrUn_NW_020191294v1	NKLS02001210.1	NKLS02001210.1	NW_020191294.1
chrUn_NW_020191295v1	NKLS02001211.1	NKLS02001211.1	NW_020191295.1
chrUn_NW_020191296v1	NKLS02001212.1	NKLS02001212.1	NW_020191296.1
chrUn_NW_020191297v1	NKLS02001213.1	NKLS02001213.1	NW_020191297.1
chrUn_NW_020191298v1	NKLS02001214.1	NKLS02001214.1	NW_020191298.1
chrUn_NW_020191299v1	NKLS02001215.1	NKLS02001215.1	NW_020191299.1
chrUn_NW_020191300v1	NKLS02001216.1	NKLS02001216.1	NW_020191300.1
chrUn_NW_020191301v1	NKLS02001217.1	NKLS02001217.1	NW_020191301.1
chrUn_NW_020191302v1	NKLS02001218.1	NKLS02001218.1	NW_020191302.1
chrUn_NW_020191303v1	NKLS02001219.1	NKLS02001219.1	NW_020191303.1
chrUn_NW_020191304v1	NKLS02001220.1	NKLS02001220.1	NW_020191304.1
chrUn_NW_020191305v1	NKLS02001221.1	NKLS02001221.1	NW_020191305.1
chrUn_NW_020191306v1	NKLS02001222.1	NKLS02001222.1	NW_020191306.1
chrUn_NW_020191307v1	NKLS02001223.1	NKLS02001223.1	NW_020191307.1
chrUn_NW_020191308v1	NKLS02001224.1	NKLS02001224.1	NW_020191308.1
chrUn_NW_020191309v1	NKLS02001225.1	NKLS02001225.1	NW_020191309.1
chrUn_NW_020191310v1	NKLS02001226.1	NKLS02001226.1	NW_020191310.1
chrUn_NW_020191311v1	NKLS02001227.1	NKLS02001227.1	NW_020191311.1
chrUn_NW_020191312v1	NKLS02001228.1	NKLS02001228.1	NW_020191312.1
chrUn_NW_020191313v1	NKLS02001229.1	NKLS02001229.1	NW_020191313.1
chrUn_NW_020191314v1	NKLS02001230.1	NKLS02001230.1	NW_020191314.1
chrUn_NW_020191315v1	NKLS02001231.1	NKLS02001231.1	NW_020191315.1
chrUn_NW_020191316v1	NKLS02001232.1	NKLS02001232.1	NW_020191316.1
chrUn_NW_020191317v1	NKLS02001233.1	NKLS02001233.1	NW_020191317.1
chrUn_NW_020191318v1	NKLS02001234.1	NKLS02001234.1	NW_020191318.1
chrUn_NW_020191319v1	NKLS02001235.1	NKLS02001235.1	NW_020191319.1
chrUn_NW_020191320v1	NKLS02001236.1	NKLS02001236.1	NW_020191320.1
chrUn_NW_020191321v1	NKLS02001237.1	NKLS02001237.1	NW_020191321.1
chrUn_NW_020191322v1	NKLS02001238.1	NKLS02001238.1	NW_020191322.1
chrUn_NW_020191323v1	NKLS02001239.1	NKLS02001239.1	NW_020191323.1
chrUn_NW_020191324v1	NKLS02001240.1	NKLS02001240.1	NW_020191324.1
chrUn_NW_020191325v1	NKLS02001241.1	NKLS02001241.1	NW_020191325.1
chrUn_NW_020191326v1	NKLS02001242.1	NKLS02001242.1	NW_020191326.1
chrUn_NW_020191327v1	NKLS02001243.1	NKLS02001243.1	NW_020191327.1
chrUn_NW_020191328v1	NKLS02001244.1	NKLS02001244.1	NW_020191328.1
chrUn_NW_020191329v1	NKLS02001245.1	NKLS02001245.1	NW_020191329.1
chrUn_NW_020191330v1	NKLS02001246.1	NKLS02001246.1	NW_020191330.1
chrUn_NW_020191331v1	NKLS02001247.1	NKLS02001247.1	NW_020191331.1
chrUn_NW_020191332v1	NKLS02001248.1	NKLS02001248.1	NW_020191332.1
chrUn_NW_020191333v1	NKLS02001249.1	NKLS02001249.1	NW_020191333.1
chrUn_NW_020191334v1	NKLS02001250.1	NKLS02001250.1	NW_020191334.1
chrUn_NW_020191335v1	NKLS02001251.1	NKLS02001251.1	NW_020191335.1
chrUn_NW_020191336v1	NKLS02001252.1	NKLS02001252.1	NW_020191336.1
chrUn_NW_020191337v1	NKLS02001253.1	NKLS02001253.1	NW_020191337.1
chrUn_NW_020191338v1	NKLS02001254.1	NKLS02001254.1	NW_020191338.1
chrUn_NW_020191339v1	NKLS02001255.1	NKLS02001255.1	NW_020191339.1
chrUn_NW_020191340v1	NKLS02001256.1	NKLS02001256.1	NW_020191340.1
chrUn_NW_020191341v1	NKLS02001257.1	NKLS02001257.1	NW_020191341.1
chrUn_NW_020191342v1	NKLS02001258.1	NKLS02001258.1	NW_020191342.1
chrUn_NW_020191343v1	NKLS02001259.1	NKLS02001259.1	NW_020191343.1
chrUn_NW_020191344v1	NKLS02001260.1	NKLS02001260.1	NW_020191344.1
chrUn_NW_020191345v1	NKLS02001261.1	NKLS02001261.1	NW_020191345.1
chrUn_NW_020191346v1	NKLS02001262.1	NKLS02001262.1	NW_020191346.1
chrUn_NW_020191347v1	NKLS02001263.1	NKLS02001263.1	NW_020191347.1
chrUn_NW_020191348v1	NKLS02001264.1	NKLS02001264.1	NW_020191348.1
chrUn_NW_020191349v1	NKLS02001265.1	NKLS02001265.1	NW_020191349.1
chrUn_NW_020191350v1	NKLS02001266.1	NKLS02001266.1	NW_020191350.1
chrUn_NW_020191351v1	NKLS02001267.1	NKLS02001267.1	NW_020191351.1
chrUn_NW_020191352v1	NKLS02001268.1	NKLS02001268.1	NW_020191352.1
chrUn_NW_020191353v1	NKLS02001269.1	NKLS02001269.1	NW_020191353.1
chrUn_NW_020191354v1	NKLS02001270.1	NKLS02001270.1	NW_020191354.1
chrUn_NW_020191355v1	NKLS02001271.1	NKLS02001271.1	NW_020191355.1
chrUn_NW_020191356v1	NKLS02001272.1	NKLS02001272.1	NW_020191356.1
chrUn_NW_020191357v1	NKLS02001273.1	NKLS02001273.1	NW_020191357.1
chrUn_NW_020191358v1	NKLS02001274.1	NKLS02001274.1	NW_020191358.1
chrUn_NW_020191359v1	NKLS02001275.1	NKLS02001275.1	NW_020191359.1
chrUn_NW_020191360v1	NKLS02001276.1	NKLS02001276.1	NW_020191360.1
chrUn_NW_020191361v1	NKLS02001277.1	NKLS02001277.1	NW_020191361.1
chrUn_NW_020191362v1	NKLS02001278.1	NKLS02001278.1	NW_020191362.1
chrUn_NW_020191363v1	NKLS02001279.1	NKLS02001279.1	NW_020191363.1
chrUn_NW_020191364v1	NKLS02001280.1	NKLS02001280.1	NW_020191364.1
chrUn_NW_020191365v1	NKLS02001281.1	NKLS02001281.1	NW_020191365.1
chrUn_NW_020191366v1	NKLS02001282.1	NKLS02001282.1	NW_020191366.1
chrUn_NW_020191367v1	NKLS02001283.1	NKLS02001283.1	NW_020191367.1
chrUn_NW_020191368v1	NKLS02001284.1	NKLS02001284.1	NW_020191368.1
chrUn_NW_020191369v1	NKLS02001285.1	NKLS02001285.1	NW_020191369.1
chrUn_NW_020191370v1	NKLS02001286.1	NKLS02001286.1	NW_020191370.1
chrUn_NW_020191371v1	NKLS02001287.1	NKLS02001287.1	NW_020191371.1
chrUn_NW_020191372v1	NKLS02001288.1	NKLS02001288.1	NW_020191372.1
chrUn_NW_020191373v1	NKLS02001289.1	NKLS02001289.1	NW_020191373.1
chrUn_NW_020191374v1	NKLS02001290.1	NKLS02001290.1	NW_020191374.1
chrUn_NW_020191375v1	NKLS02001291.1	NKLS02001291.1	NW_020191375.1
chrUn_NW_020191376v1	NKLS02001292.1	NKLS02001292.1	NW_020191376.1
chrUn_NW_020191377v1	NKLS02001293.1	NKLS02001293.1	NW_020191377.1
chrUn_NW_020191378v1	NKLS02001294.1	NKLS02001294.1	NW_020191378.1
chrUn_NW_020191379v1	NKLS02001295.1	NKLS02001295.1	NW_020191379.1
chrUn_NW_020191380v1	NKLS02001296.1	NKLS02001296.1	NW_020191380.1
chrUn_NW_020191381v1	NKLS02001297.1	NKLS02001297.1	NW_020191381.1
chrUn_NW_020191382v1	NKLS02001298.1	NKLS02001298.1	NW_020191382.1
chrUn_NW_020191383v1	NKLS02001299.1	NKLS02001299.1	NW_020191383.1
chrUn_NW_020191384v1	NKLS02001300.1	NKLS02001300.1	NW_020191384.1
chrUn_NW_020191385v1	NKLS02001301.1	NKLS02001301.1	NW_020191385.1
chrUn_NW_020191386v1	NKLS02001302.1	NKLS02001302.1	NW_020191386.1
chrUn_NW_020191387v1	NKLS02001303.1	NKLS02001303.1	NW_020191387.1
chrUn_NW_020191388v1	NKLS02001304.1	NKLS02001304.1	NW_020191388.1
chrUn_NW_020191389v1	NKLS02001305.1	NKLS02001305.1	NW_020191389.1
chrUn_NW_020191390v1	NKLS02001306.1	NKLS02001306.1	NW_020191390.1
chrUn_NW_020191391v1	NKLS02001307.1	NKLS02001307.1	NW_020191391.1
chrUn_NW_020191392v1	NKLS02001308.1	NKLS02001308.1	NW_020191392.1
chrUn_NW_020191393v1	NKLS02001309.1	NKLS02001309.1	NW_020191393.1
chrUn_NW_020191394v1	NKLS02001310.1	NKLS02001310.1	NW_020191394.1
chrUn_NW_020191395v1	NKLS02001311.1	NKLS02001311.1	NW_020191395.1
